sentence1	sentence2	label
A man in a green jersey and rollerskates stumbles as a man in a black jersey appears to collide with him .	The man stumbles stumbles in rollerskates .	[1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A group of onlookers glance at a person doing a strange trick on her head .	A boy does a card trick .	[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A group of onlookers glance at a person doing a strange trick on her head .	Onlookers are impressed by the trick .	[0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]
A group of onlookers glance at a person doing a strange trick on her head .	People watch another person do a trick .	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
The middle eastern woman wearing the pink headscarf is walking beside a woman in a purple headscarf .	Only one woman is wearing a head scarf .	[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
The middle eastern woman wearing the pink headscarf is walking beside a woman in a purple headscarf .	These two women are friends .	[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A taxi SUV drives past an urban construction site , as a man walks down the street in the other direction .	A man is chasing an SUV that is going in the same direction as him .	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A taxi SUV drives past an urban construction site , as a man walks down the street in the other direction .	An SUV and a man are going in opposite directions .	[1, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]
A taxi SUV drives past an urban construction site , as a man walks down the street in the other direction .	A taxi SUV races to pick up some clients while a man walks peacefully in the other direction .	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
People wearing red shirts are standing in a large pool of water as it splashes over and around them .	Nobody has a shirt on	[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
People wearing red shirts are standing in a large pool of water as it splashes over and around them .	A person in a shirt	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
People wearing red shirts are standing in a large pool of water as it splashes over and around them .	A tall person in a shirt	[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A man in a white t-shirt takes a picture in the middle of the street with two public buses in the background .	A man is wearing a black shirt	[0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A man in a white t-shirt takes a picture in the middle of the street with two public buses in the background .	A man is wearing a white shirt	[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A man in a white t-shirt takes a picture in the middle of the street with two public buses in the background .	A man is taking photos while on tour in nyc	[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A shirtless man is singing into a microphone while a woman next to him plays an accordion .	He is Polish .	[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A shirtless man is singing into a microphone while a woman next to him plays an accordion .	He is playing a saxophone .	[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A shirtless man is singing into a microphone while a woman next to him plays an accordion .	A man is singing into a microphone .	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
Women and children sitting outside in the shade while a group of younger children sitting inside in the shade .	It is very sunny outside .	[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]
Women and children sitting outside in the shade while a group of younger children sitting inside in the shade .	The woman and kids and sitting down .	[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
Women and children sitting outside in the shade while a group of younger children sitting inside in the shade .	The woman is running .	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A pregnant lady singing on stage while holding a flag behind her .	A woman is sick in bed .	[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A pregnant lady singing on stage while holding a flag behind her .	A woman is making music .	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A pregnant lady singing on stage while holding a flag behind her .	A lady is participating in a talent show .	[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
The two farmers are working on a piece of John Deere equipment .	Men are working on John Deere equipment	[0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1]
The two farmers are working on a piece of John Deere equipment .	John Deere equipment is being worked on by two farmers	[1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
The two farmers are working on a piece of John Deere equipment .	2 Men are making a pool together	[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A little boy in a blue shirt holding a toy .	Boy dressed in blue carrying toy to a toybox .	[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A little boy in a blue shirt holding a toy .	Boy dressed in red lighting things on fire .	[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A little boy in a blue shirt holding a toy .	Boy dressed in blue holds a toy .	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A woman is writing something on a post-it note which is hanging on a bulletin board with a lot of other post-it notes .	The woman is writing a grocery list .	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A woman is writing something on a post-it note which is hanging on a bulletin board with a lot of other post-it notes .	The woman is talking on the phone .	[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A woman is writing something on a post-it note which is hanging on a bulletin board with a lot of other post-it notes .	The woman is writing a note .	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A baby at the end of a slip and slide at a party	The baby is wet .	[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A baby at the end of a slip and slide at a party	The man is at the end of the slip and slide	[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A baby at the end of a slip and slide at a party	There is a party	[0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A girl swings high in the air .	A girl is gaining momentum to flip off the swing	[1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]
A girl swings high in the air .	A girl is laying in the pool	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A girl swings high in the air .	A girl is on a swing	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A view of the back of a woman having a beverage .	woman drinks a beer	[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A view of the back of a woman having a beverage .	woman dumps the drink on a man	[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A view of the back of a woman having a beverage .	woman has a drink	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A lady sitting on a bench that is against a building and under a poster of a man in a uniform waving .	A person sitting	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A lady sitting on a bench that is against a building and under a poster of a man in a uniform waving .	A tall person sitting	[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A lady sitting on a bench that is against a building and under a poster of a man in a uniform waving .	Nobody is sitting	[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A man with a shopping cart is studying the shelves in a supermarket aisle .	The man is trying to pick out what cereal to choose .	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A man with a shopping cart is studying the shelves in a supermarket aisle .	A man is watching a movie in a theater .	[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A man with a shopping cart is studying the shelves in a supermarket aisle .	There is a man inside a supermarket .	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A man wearing sunglasses is sitting on the steps outside , reading a magazine .	The man is sitting .	[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A man wearing sunglasses is sitting on the steps outside , reading a magazine .	The man is reading tips on how to be a better boy friend .	[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A man wearing sunglasses is sitting on the steps outside , reading a magazine .	The man is reading a spoon with the words `` HELP ME '' on it .	[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A woman sitting outside weaving a long piece of red , white , and blue cloth .	He is jumping over a house	[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A woman sitting outside weaving a long piece of red , white , and blue cloth .	She is working with cloth	[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]
A woman sitting outside weaving a long piece of red , white , and blue cloth .	She is weaving an american flag	[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A person powerwashing stairs leading down to a pool .	a person washes stairs	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A person powerwashing stairs leading down to a pool .	a worker cleans near the pool	[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A person powerwashing stairs leading down to a pool .	a dog chases a cat	[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A person rides his bicycle in the sand beside the ocean .	A person is falling off his bike .	[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]
A person rides his bicycle in the sand beside the ocean .	A person is on a boat .	[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A person rides his bicycle in the sand beside the ocean .	A person is on a beach .	[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
Two black little boys hanging over an upside down bicycle , one examining the pedal .	Children were looking at a bike .	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
Two black little boys hanging over an upside down bicycle , one examining the pedal .	the children are outside .	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Two black little boys hanging over an upside down bicycle , one examining the pedal .	Someone is riding a bike .	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A brown a dog and a black dog in the edge of the ocean with a wave under them boats are on the water in the background .	The dogs are out to catch fish .	[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]
A brown a dog and a black dog in the edge of the ocean with a wave under them boats are on the water in the background .	The pets are sleeping on the grass .	[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A brown a dog and a black dog in the edge of the ocean with a wave under them boats are on the water in the background .	The dogs are swimming among the boats .	[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A group of people prepare hot air balloons for takeoff .	A group of people are outside .	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A group of people prepare hot air balloons for takeoff .	A group of people prepare cars for racing .	[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A group of people prepare hot air balloons for takeoff .	There are hot air balloons on the ground and air .	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Men stand on steps leading out of a body of water	Men are standing on some steps near some water .	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
Men stand on steps leading out of a body of water	Men are sitting outside near a golf course .	[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
Men stand on steps leading out of a body of water	Men are standing by a docked boat .	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A group of young people with instruments are on stage .	People are performing as a band for a crowd .	[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A group of young people with instruments are on stage .	Young people are playing water polo .	[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A group of young people with instruments are on stage .	People are playing music .	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A long-beaked bird in mid-flight .	A bird flying .	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A long-beaked bird in mid-flight .	A rat running on a wheel .	[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A long-beaked bird in mid-flight .	A bird chasing an insect .	[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]
A young boy with black hair is holding onto a gun which is secured to a vehicle which is being driven by a young man who is wearing a bright pink shirt .	The boy is outside and running from cops .	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A young boy with black hair is holding onto a gun which is secured to a vehicle which is being driven by a young man who is wearing a bright pink shirt .	The young boy is completing a heist .	[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A young boy with black hair is holding onto a gun which is secured to a vehicle which is being driven by a young man who is wearing a bright pink shirt .	The bank has just been robbed .	[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A man in the middle east with a corn-on-the-cob cart selling corn .	An old middle eastern man is selling corn-on-the-cob from his brother 's cart .	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A man in the middle east with a corn-on-the-cob cart selling corn .	In the middle east , a man sells corn-on-the-cob from a cart .	[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A man in the middle east with a corn-on-the-cob cart selling corn .	A middle east man is throwing corn at strangers .	[1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A man in a black shirt is playing a guitar .	He is playing a song .	[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A man in a black shirt is playing a guitar .	The man is wearing a blue shirt .	[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A man in a black shirt is playing a guitar .	The man is wearing black .	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
Colorfully dressed people walk down the center of the road , with onlookers behind a barricade .	A group of people in a motorcade driving past an audience .	[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1]
Colorfully dressed people walk down the center of the road , with onlookers behind a barricade .	A group of people walking down a road .	[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
Colorfully dressed people walk down the center of the road , with onlookers behind a barricade .	A group of people walking past a group of civilian spectators .	[0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A woman is talking on the phone while standing next to a dog .	A woman is sleeping .	[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A woman is talking on the phone while standing next to a dog .	A woman is walking her dog .	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A woman is talking on the phone while standing next to a dog .	A woman is on the phone .	[1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
Three young boys one is holding a camera and another is holding a green toy all are wearing t-shirt and smiling .	The boys are all wearing yellow .	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Three young boys one is holding a camera and another is holding a green toy all are wearing t-shirt and smiling .	The boy is crouching down to take a picture .	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Three young boys one is holding a camera and another is holding a green toy all are wearing t-shirt and smiling .	The young boy has a camera .	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
5 women sitting around a table doing some crafts .	Five men stand on chairs .	[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
5 women sitting around a table doing some crafts .	Five women sit at a table .	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
5 women sitting around a table doing some crafts .	Five friends sit at a table .	[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
Street performer with bowler hat and high boots performs outside .	The man is performing a magic act .	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]
Street performer with bowler hat and high boots performs outside .	The person is performing .	[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
Street performer with bowler hat and high boots performs outside .	The child is dancing inside .	[1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A young boy playing in the grass .	The boy is playing make believe .	[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A young boy playing in the grass .	There is a child in the grass .	[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A young boy playing in the grass .	The boy is in the sand .	[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Two men playing baseball with the one in the black and red jersey running toward base .	The man in black and red is about to score the winning run .	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
Two men playing baseball with the one in the black and red jersey running toward base .	There is a baseball game going on .	[1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
Two men playing baseball with the one in the black and red jersey running toward base .	The man in black and red is sitting in the bleachers .	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A man and a woman are looking at produce on display .	A man and women are staring at heads of lettuce .	[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A man and a woman are looking at produce on display .	Two men throw produce at each other for fun .	[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
A man and a woman are looking at produce on display .	A man and woman are looking at produce .	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
People are throwing tomatoes at each other .	The people are sitting and eating their food .	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
People are throwing tomatoes at each other .	The men are covered in tomatoes .	[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
People are throwing tomatoes at each other .	The people are having a food fight .	[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
People standing in line of a beer and curry line .	People standing in line	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
People standing in line of a beer and curry line .	People happily standing in line	[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]
People standing in line of a beer and curry line .	People not standing in line	[0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1]
A man and a woman are talking in a park	A man and woman are talking in the aquarium .	[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A man and a woman are talking in a park	The couple discuss their financial future in the park .	[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A man and a woman are talking in a park	A pair of people are talking outdoors .	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A small ice cream stand with two people standing near it .	Two people selling ice cream from a car .	[0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0]
A small ice cream stand with two people standing near it .	Two people standing outside an ice cream stand .	[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
A small ice cream stand with two people standing near it .	Two people in line to buy icecream .	[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]
