sentence1	sentence2	label
A woman in a light colored dress is singing to an audience.	A woman with black hair is singing to an audience.	0
Three men in suits hold up posters for Ford, Auto Alliance and Mazda.	Three men are participating in a car advertisement.	1
There is a large hole in the road.	The large hole in the yard is from a sinkhole.	1
Construction worker operating machinery with the word Geospec on door.	The construction worker using a nailgun.	1
A restaurant front line, with a warmer in the front and a person in a red Coca Cola shirt cooking.	The person in the Coca Cola shirt is opening the refrigerator.	1
A smiling Asian woman wearing a conical hat sits on a sidewalk hawking her bananas.	A woman is selling blue bananas.	1
4 children and 1 adult look at an armadillo on a grassy hill with 2 trees.	There are people outside.	1
A small girl sleeping on a couch with a pillow on her lap and under her head.	A small boy sleeping on a couch with a pillow on her lap and under his head.	0
A man with glasses wearing ornate clothing sitting down with an ornament in his hand.	A man getting ornaments ready to hang.	0
A hiker walking near a waterfall.	The hiker is outdoors.	0
A woman carries a child in her arm and holds another child's hand as they walk outside next to a building.	A woman holds a baby girl and holds her sons hand while walking outside.	0
A woman does not waste the nice day by reading on the beach.	The woman enjoys the outdoors.	1
A man sits on a beach staring out into the ocean where a rainbow is beginning to form.	A couple are having a picnic on the beach.	1
The cricket player just misses catching the ball.	His hand moves through the air	1
Two people on an amusement park ride.	Two people are outside at a fair.	1
Three men in white wait to swing at a ball.	There are men hanging together.	1
A young couple thinking about their Christmas decorations.	A young couple is decorating for Christmas.	1
Two large people are sitting at a table in a crowded restaurant	Some people are waiting for their food to be delivered to their table.	0
Man surfing under the Golden Gate Bridge on a foggy day.	Man surfs on a long board under golden gate bridge.	1
Two young girls are coloring a picture with crayons.	Two girls bake brownies with their mom.	0
A waterfall splashes into a pool at the bottom of a steep grassy hill.	Some waterfall splashes into a pool.	0
Two street people and a dog sitting on the ground and one is holding an "out of luck" sign.	the people are swimming in the red sea	1
Two brunettes with brown eyes are looking into the camera.	Two brunettes are taking modeling pictures.	0
A man wearing a safety helmet and a red and black life vest is piloting his yellow Wave Sport kayak in rough waters.	A man is outdoors	1
A man drinks from a wineglass while reading the paper.	A man is enjoying his wine.	0
oh yea these suckers cant catch me.	Bank robber running down the street.	1
A young girl in a black leotard swinging on the lower wrong of a pair of parallel bars in a gym while a young man spots her.	The young girl is in a ballet class	1
A teenage boy and girl, sitting in the sunlight, on a masonry stairway.	A teenage guy and girl are enjoying sunset on a porch	1
A young blond boy sits at the end of a dock, holding a fishing pole over the water.	The fishing boy is reeling in a fish.	0
Two women and a little girl are resting with food and drink near a log in a grassy field under flowering trees.	3 girls are talking	1
A man throws his young boy playfully into the air standing on a beach.	A stranger is playing on the beach with a boy.	1
A man stands in striking position while holding his opponent's head.	The man is sitting.	0
A man sings for a crowd in a banquet hall for an audience.	The man performs in front of two people.	1
A boy in a blue dress shirt dances in a courtyard.	There's a child in the terrace.	0
Many people are fencing on a basketball court.	There are athletes outside.	1
A man in a straw hat kneels to inspect a flower in the country.	Nobody is kneeling.	0
A man is wearing clown makeup.	A man in makeup.	0
A little girl with blond-hair and a blue shirt is blowing bubbles outside with someone.	A girl and a boy are blowing bubbles.	1
A girl is running up to kick a green soccer ball.	The girl is singing in the bathroom.	0
A person wearing a bright pink wig and a yellow shirt, facing away and looking at the ocean.	The wig is pink.	1
A little girl with pink pants and a pink jacket on in the middle of a pile of plastic bottles.	A little girl sits on a plastic bottle throne.	1
several people are having a gathering in folding chairs in their backyard	A group of children are standing in the backyard.	1
A group of people carrying something wrapped in an american flag.	The people are sitting on a couch.	1
People are packing into the market.	There are a lot of people at the market.	0
A lack dog and a brown and white dog run on a gravel surface with something red underfoot.	The dogs are chasing each other.	0
Three women in headscarfs look at something out of frame.	Three women are near each other.	1
Two men at the beach twirl sticks with fire at the ends.	two men are having a camp fire and roasting marshmellows	1
A man facing away from the camera sitting on an aqua colored stool.	A man is facing a stool.	1
This man is wearing large goggles that cover half his face.	This man is wearing large goggles to protect his eyes	1
A crowd looks up at two people standing on two balconies of a building.	There is a crowd of people indoors.	1
Family trying to be polite as street magician in trendy Merrell shoes approaches them.	The magician performs on a stage.	0
A man in a white t-shirt painting in the middle of a stone paved road.	The man is using watercolors to paint the scenery.	1
A person is holding a shovel between a truck and a cloud of dust.	A person rides in a car.	1
Man kisses crying baby at a marathon.	The man is smacking a baby	0
People relaxing at a local venue.	The people are co-workers.	0
A man is standing at edge of a pond, with two dogs and is throwing a branch is water.	A man walks his dogs.	1
A few people white water rafting.	The are together	1
A man with brown hair talks on a microphone.	man talks on microphone	0
Men, one walking, and one sitting balanced on a shaft.	Two men are sitting on a yacht	0
A child in a brightly colored hat inspects her snow angel	A child plays in the snow in the winter.	1
A patient sits with a woman in a green shirt.	a patient sits with a girl in a green shirt.	1
An older woman sits at a table wearing a purple blazer awaits her dish of pasta.	The woman is at a restaurant.	0
A man in a blue jacket is climbing a rock.	A man in black shoes climbing a rock	1
A woman laughing in a kimono.	The geisha had the good sense to laugh, for the client was fearsome and easily angered.	1
A short-haired man in a white shirt and khaki pants walks forward past a black car, holding a white notebook.	A man in khaki pants and white shirt is holding a white notebook while walking by a black car.	0
two girls walking down a street	Two girls are walking to school.	0
A Boston Terrier is running on lush green grass in front of a white fence.	The dog is standing on pavement.	0
Grinning young boy with his hands behind his back in a flower garden wearing a gray and black striped sweater and blue jeans.	The boy is wearing long clothes.	1
A BMX rider in the middle of a jump as the crowd below watches.	A BMX rider goes down an incline as the crowd below watches.	1
A hiker with a backpack is walking with a snow-covered mountain in the background.	The hiker hike up the mountains.	1
An older woman with a stroller and a red jacket wrapped around her waist looking at an amusement park ride.	A woman is watching something.	0
Many people outside, sitting on the edge of a jacuzzi.	Several people are hanging out together outside.	0
A shirtless man climbs a wall in nature.	A man is climbing an indoor rock wall.	0
Shark attack waiting to happen to little girl with floaties.	A shark approaches a young girl in the water.	1
A man wearing a helmet is walking down a hallway.	A man walks through a house.	1
a small blond child affectionately grabbing a spotted dog	The fair haired girl is playing with a spotted brown dog.	1
A child brushes a play crocodiles teeth.	The child is grooming a dangerous leopard's fur.	0
Three girls in gold' Native American' costumes dance on a football field while several young men in dark blue uniforms play drums behind them.	the girls danced on the field as Native Americans in March	0
A group of ten horse riders wearing equestrian helmets gallop across a large grassy field.	Humans wearing	1
A group of men and women surrounding a bonfire while having conversation.	People talk with each other next to a large bonfire.	0
Someone in a blue shirt and hat is standing on stair and leaning against a window.	A bald man is running on the street.	0
A man struggles to climb a rock wall.	A few men are rock climbing.	1
A woman walking a dog on a leash at the beach, trailing behind as a pug follows another unseen woman.	someon on the beach with a dog followed by a puppy	1
A boy and a large dog stand on a dock watching another dog swim in the water.	One dog cant swim.	1
Africans are walking down a dirt road with straw huts in the background.	The people are walking on a busy sidewalk	1
Two kids on the orange team battle over the soccer ball against the kid on the yellow team.	two kids on the red team battle over a soccer ball	1
A boy toddler is holding a bat he is about to swing at a pinata.	A child is about to hit the panda with a bat.	1
Little boy being silly jumping in the lake.	A boy hoping in the water.	1
Two sports teams competing against each other.	Two sports teams are working together to win.	0
man playing guitar on a sidewalk.	The man is sitting on the sidewalk.	1
A person climbing a large rock with many snow covered rocks in the background.	A person is climbing in Winter.	0
Player number 23 dunks the basketball into the net with a crowd in the background.	Player 23 missed the basket.	0
A man falling off a bull as the animal jumps into the air.	A boy struggles to hold on to a bull as it twirls and jumps.	1
A dog swimming in a pond	A dog jumped in the pond.	1
A man and woman walking down a street.	The man and woman are racing each other.	1
Two young boys putting fruit on the bike.	Boys riding their bikes.	1
A small black and white dog and a larger tan one are checking each other out at the waters edge.	There is a small light black and white dog	1
Produce market in India protected by umbrella shades.	a child was there	1
A woman in a red striped shirt and red shorts is holding a white bag while sitting with several people behind her and one person beside her.	Many people were sitting in a room	1
two men wearing black in a city	A couple of men in an urban area.	0
a man knelt next to traffic cones examining a ladder.	A roofer is checking the safety of his ladder before he starts work.	1
Violinist, dressed in black, performing a concert, for members of the church.	a violinist are performing a concert.	0
A man in a hard hat, gray t-shirt and holding a cordless drill saluting in front of a large American flag.	A man in a red t-shirt holding a wrench salutes the American flag.	1
several kids wait in line in front of an ice cream truck at night	Children outside at night.	1
Three men in cowboy hats at a rodeo.	There aren't any animals at the rodeo.	0
A soccer player in a green uniform with a ball in is hands is being held up by some of his teammates, while an opposing player in red reaches for the ball.	The winning team defends its lead	0
An old woman watches a man look down at some balls on the ground.	A gray haired person is looking at a gentleman.	1
A woman is waiting for a man with a camera to take a picture of a flower.	A lady is waiting on a photographer to take pictures of blooms.	1
A woman playing baseball walks back to her base while her feamle teammate follows.	The woman in the baseball game is not in a hurry.	1
A black lab runs headlong into a lake surrounded by farmland.	There are dogs outside.	1
A peloton is riding bikes through cobblestone.	People are racing on bikes.	1
Cyclists are focused straight ahead as they ride along a street with onlookers watching from behind barricades.	Cyclists are waving at the crowd as they ride along a street with onlookers watching from behind barricades.	1
A person wearing a wetsuit is surfing on a white surfboard.	The person is in the water, trying to stand on a board.	1
A man is resting in a small stream with a hat over his head while the little waterfall is pouring in the background.	A man is resting in a hammock	0
An old man dressed in med-evil clothing holds an axe while standing on a hill.	A man is going to a renasance fair.	0
A large brown dog and a larger black dog playing together with a ball.	The ball they are playing with is a tennis ball.	0
Several people are standing or walking down a busy sidewalk.	The city sidewalk is crowded with people going about their business.	1
A man is sitting on a couch under an expressway ledge.	A person is seated outdoors.	0
A small dog with a ball in its mouth running through a course.	A small dog is playing fetch with its owner.	0
A woman in a yellow skirt is dancing with a man in a white shirt, with another couple dancing in the background.	A newly wed couple dances next to many other couples	1
A photographer carefully sets up his camera on a tripod and prepares to take the shot amidst the scenic background.	A photographer gets ready to take a landscape shot.	1
Three people are watching their cars.	Four people watch their car.	0
A woman wearing boots is working in a factory.	A woman relaxes on the beach.	0
A man in nice clothes is trying to balance on the end of the bulldozer bucket.	A man works outside.	1
The man in the blue shirt is working on the light.	A man working on a light.	0
A man and woman dressed in costume pose for the camera.	Twp people pose in costume for a photo.	0
A person is running down a hill of sand wearing a backpack, with the views of mountains, clouds and one skinny tree in the background.	A person running down a hill away from a bear.	0
A child bowling at the bowling alley.	A child is playing a sport.	1
A tall, heavyset female with long black hair and wearing a gray blouse, holding a bag of potato chips, leaning against a white wall where four paintings are hung.	A woman is sitting underneath four paintings.	1
Two men are working next to a large rectangular vat overflowing with water.	Men are working next to a vat of water.	0
A local band performing at a local venue.	A rock band is performing at a bar.	0
A young woman with the Mexican flag painted on her cheek is standing with her back to the camera.	A young woman is facing the camera.	0
A bunch of skater guys playing around.	They're about to begin a skating competition	0
A couple of boys are in a gym with partially assembled bicycles.	The bikes are broken and need repair.	1
A person stands in a vast field of glacial ice.	A person is standing outside.	0
small child playing in grass near sprinklers.	A small child runs through the sprinklers	1
The man is walking the bride down the aisle.	A man is hitting his wife.	0
Two young girls are displaying drawings of sloths.	Two young girls are displaying drawings of butterflies.	0
A young girl wearing a blue bikini swimsuit.	The girl is dressed for a warm day.	0
A girl in a silk shirt plays pool	A woman in a green skirt is in a bar.	1
Man wearing suspenders standing in a fountain systems.	An elder is wearing an old fashion belt outside.	1
A man leaning over a car with a beard looking at the camera while working on a car.	A man working on a car with facial hair getting in the way.	1
Older men and women dancing in front of a stage, a man in a white hat twirling a woman in a red flower print skirt and white shirt.	People watch a show.	1
The patient is giving the list to write.	The patient gave the doctor the list.	1
There is a crowd of mothers and children taking drumming lessons.	There is a group of people chanting and yelling.	0
Three children are playing with an illuminated water art display.	Three workers are laughing at an illuminated water art display	1
A man working in a machine shop.	A man is creating something in the shop.	1
People, mainly women and 2 referees, are skating fiercely during a roller derby match.	The are women ice skating on a rink outdoors in the winter.	1
A woman in a blue shirt with a backpack eating a hotdog.	The woman is eating lunch.	1
Many people in white smocks look at things under identical looking microscopes.	Multiple humans are looking how these new cells interact.	0
Three men are sitting on a beach dressed in orange with refuse carts in front of them.	Carts filled with trash are sitting on the beach.	1
A bearded man with a backpack on his back holding a tripod in front of a rocky creek and bridge.	The man with the bear and backpack held the tripod by the creek.	1
Two women are sitting in rose-colored wing back chairs as one points over her shoulder at a colorful human figure.	Two women are standing.	0
a man walking away from an escalator while a woman is coming up the escalator.	A man and woman are using an escalator.	1
Two men stand in the center of a clearing with mountains in the background.	men at the center of a stage	1
A man wearing glasses and black clothing is sitting while a man in a vest drinks in the background.	A man is wearing glasses and light black clothing.	0
little kid walking in a snow with a parent.	A parent is feeding their kid soup.	0
Riot police are grabbing an individual.	Police are grabbing someone.	0
A man in a blue jacket standing at a table with his back to the camera.	a couple was there	1
A young mother is letting her child lick a wooden cooking spoon clean.	The child is licking the spoon	1
Ladies in bright dresses are crossing the road.	The group of women are getting ready for a fashion show.	1
Some colorful riflemen are walking in a parade.	Riflemen are walking proudly and slowly at a holiday parade.	0
Two people sit at a table under a tent as a third man stands near them.	Three men inside of a tent.	1
A woman wearing a black jacket, red and white sneakers, and a red bandanna sits on a bench.	A person wearing a jacket.	0
The man on the bottom is wearing a gray shirt.	a man is wearing a vray shirt.	0
A young woman in a green "Aeropostale" shirt and a green bracelet with a black purse, looking down with pursed lips.	The shirt has a picture on it.	1
The man leads his black and white dog across a blue obstacle.	The dog is going through an obstacle course.	0
A man with an umbrella, tan coat, and hat sits in the middle of a crowd holding his umbrella above his head and spraying a woman walking past him with a water bottle.	A man holds an umbrella and splashes a woman with water.	0
A squatting couple outdoors, engaged with a kneeling street performer or vendor reading from a book of manga.	A couple looks down at something someone sitting by the street has.	1
Variety is the spice of life no matter what the culture may be.	Variety separates cultures.	1
A african descent male is repairing the clothes using his sewing machine.	A african descent male is fixing some clothes	0
A woman with messy hair, a blue jean jacket and white pants looks down at something.	A wild-haired woman is looking at the ground.	1
A white male is doing black smith work in a black smith building.	The man is inside.	0
three people standing outside a store window with two large signs in the background	three people standing outside a store window talking	0
A conference is being held that involves laptops and big screen presentations.	The conference is suited for a large audience.	1
An adult horse approaching a foal on a sandy plain.	The horse is walking towards.	1
People on bicycles waiting at an intersection.	People are on mountain bikes.	0
Kids are playing around the playground ship with climbing net and stairs.	Children are outside.	0
Two girls riding on an amusement part ride.	The girls are riding a roller coaster.	1
A wrestler in purple curls up in a ball while one in blue celebrates.	The wrestler in blue wins the match.	1
Women young and old are pictured at what might be a social, political, or church gathering on a large lawn.	A group of woman are having a political meeting in a church basement.	1
Three men dressed in white shirts and white hats, (two with baseball caps, the leader with a white construction helmet), pounding sticks on steel and plastic drums.	Three brothers pound on some drums	0
Two people performing in front of a crowd on a set of steps while wearing foil suits.	Two people are riding horses.	0
A young boy is cooling off with an outdoor water fountain.	A young boy is drinking water at a water fountain.	1
A small white and gray dog in a jacket standing in the snow.	A small dog wearing a blue jacket is in the snow.	1
This is a pensive women in a grassy setting.	The woman is thinking.	1
A hippy girl with blond and pink side hair streaks and shades dressed in a white shirt and black attire.	A hippy girl who loves the colors pink, white, and black.	0
On the left, a hand points to a surprised looking woman with short hair sitting at a table in front of a window	The woman is standing in front of a window.	1
Young blond child poses in a model of Santa's sleigh amongst various model gifts.	A kid takes a picture at Christmas with a full sled of gifts.	1
Two women talking with each other in a subway.	the two women are in a spa, relaxing.	0
Man smoking a cigarette in a subway station near a missing poster.	There is a man smoking outdoors	1
A young adolescent is jumping into a pool.	A kid is playing pool side.	1
An empty seat at a Mexican themed restaurant.	The Mexican restaurant is doing good business.	0
Young student wearing goggles in a lab.	A young student a lab taking an exam and wearing goggles.	0
Two men are underwater with SCUBA gear, sitting together on the bottom of a pool.	Two men are skinny dipping in a lake.	0
A boy follows through on his bowling motion at a bowling alley.	The boy is riding his bike.	0
Synchronized swimmers with arms and legs raised out of water.	Men are lying down.	0
A man in a white shirt reads while waiting to sell fruit.	A man is selling fruit on the side of the road.	0
Man and woman standing close together while another man watches.	A man and a woman pose for pictures while a man passing-by photo bombs their picture.	0
A doctor examines the screen during an operation.	The doctor left a knife in the patients stomach.	1
One man wearing a blue shirt, white shorts, and sandals, and another man wearing cargo pants and a gray jacket shop at a farmer's market.	A young couple shops for fresh fruit from their local market	1
A man has jumped from a surfboard up into the air.	Nobody jumped.	0
A bride and her bridesmaids are lined up outside looking at a man coming dressed in a dark suit.	twelve birds hunt together	1
Two colorfully clad performers dance merrily with each other.	The performers are dancing	0
Overjoyed child holding up a toy of some sort as her peers look onward in curiosity.	A child is the center of attention.	1
Photojournalist on a motorcycle, following marathon runners, one wearing a green shirt and shoes, the other fluorescent orange with blue shoes.	A motorcycle has collided with a group of bicycle racers.	1
A person sitting on the corner, wrapped in a blanket in front of a metal door.	The person is cozy.	0
A guy pushes cart full of water in bags on the travelator.	The guy is pushing a train.	0
A woman dressed in winter clothing dragging a Christmas Tree through the snow.	Something in the snow.	0
Two men put their arms and legs out to the side.	Two men stand in place.	1
A person walking in the snow with a forest of trees in the background.	A woman is walking barefoot along the beach.	0
A group of people are watching acrobatic performers on a beach.	The performers are watching the people do acrobatics.	1
The man is cooking on the barbecue.	A man is drinking beer.	1
adult man climbing a rock in a park.	A man is climbing a large boulder in the park.	1
A man shows a young boy how to sweep in the streets of an Asian city.	The boy is learning how to sweep.	0
construction worker scaling building	The construction worker is working on the exterior of the building.	1
A group of men are playing rugby.	The men  was  inside  watching  tv	0
This is a guy with brown hair and a white shirt performing while playing his drum	A crazed fan with bongos ruins a Soundgarden concert	0
A brown and white dog is licking a dog that looks very similar.	A dog is cleaning another dog.	1
a group of people are sitting under a sunshade in a grassy woodland clearing.	Humans enjoy the outside environs.	1
Two girls make faces in the reflection of a mirror behind a boy sitting on a pink couch.	Two sad girls make faces in the reflection of a mirror behind a boy sitting on a pink couch.	1
Skateboarding stunt man in the black shirt is getting recorded by the man in the green shirt.	a boy on a skateboard does tricks while he is recorded by many cameramen	1
Three people wear a lot of makeup and stand together.	Three people wearing ski masks rob a bank.	0
A pilot is leaving a home.	A pilot sits on his couch and watches TV.	0
The elaborate Jesus shrine is being carried in a parade.	A group of people are carefully handling the new shrine on the way to its location.	1
Grandparents are discussing their son's future seriously.	The grandparents are talking.	0
A child in red shorts playing in a fountain.	A child is sleep.	0
A girl wearing a yellow top and blue jeans is walking a pet.	A woman is walking her pet down the street.	0
A man wearing a hula skirt stands on the shore with the ocean behind him with 2 rows of pigs lying on their backs.	The man surfs on the ocean waves.	0
Two young girls walking down a busy city street.	People are in school.	0
Two small children pop their heads out of the trunk of a car in cold weather.	Two little girls peep out the trunk of a car on a chilly day.	1
A man painting a sign onto his food cart.	A man is selling food.	1
A man in black is applauding a runner wearing a red jersey and the number 281.	The man is running	1
A black dog is running across a field.	The dog is running.	0
Four dark-skinned boys are playing soccer.	The boy is near a ball.	1
Two teenage girls jumping in a yard, with a two story brown building in the background, while holding each others right hand.	The girls lived somewhere nearby in the neighborhood.	0
Snowboarder going over a fence in snow.	He just cleared a huge jump.	1
An ambulance on the street with its lights on at night.	An ambulance is going fast down the street with its lights flashing.	1
A man wearing a white cowboy hat, blue shirt, and black vest, is riding a black bull at a rodeo stadium.	The only animal you can see here is a mouse.	0
A young boy using a pencil to draw on a piece of paper.	some boys have pencils	1
The girls, standing in a spotlight, are dressed in multicolored outfits.	There are no boys.	1
